,Year,SP.URB.TOTL.IN.ZS,SP.POP.1524.TO.UN,IS.RRS.PASG.KM,Country Code,Country Name,Region,Income Group,Lending Type
0,1995,21.693,25083929,4037.0,BGD,Bangladesh,South Asia,Lower middle income,IDA
1,1996,22.064,25623943,3754.0,BGD,Bangladesh,South Asia,Lower middle income,IDA
2,1997,22.438,26212744,3753.6,BGD,Bangladesh,South Asia,Lower middle income,IDA
3,1998,22.818,26837576,3855.5,BGD,Bangladesh,South Asia,Lower middle income,IDA
4,1999,23.202,27479125,3678.3,BGD,Bangladesh,South Asia,Lower middle income,IDA
5,2000,23.59,28121522,3940.7,BGD,Bangladesh,South Asia,Lower middle income,IDA
6,2001,24.096,28760489,4209.2,BGD,Bangladesh,South Asia,Lower middle income,IDA
7,1995,30.961,219707216,354570.0,CHN,China,East Asia & Pacific,Upper middle income,IBRD
8,1996,31.916,212941470,334760.0,CHN,China,East Asia & Pacific,Upper middle income,IBRD
9,1997,32.883,206789020,358486.0,CHN,China,East Asia & Pacific,Upper middle income,IBRD
10,1998,33.867,201821525,377342.0,CHN,China,East Asia & Pacific,Upper middle income,IBRD
11,1999,34.865,198679316,413590.0,CHN,China,East Asia & Pacific,Upper middle income,IBRD
12,2000,35.877,197746762,453259.0,CHN,China,East Asia & Pacific,Upper middle income,IBRD
13,2001,37.093,199336400,476682.0,CHN,China,East Asia & Pacific,Upper middle income,IBRD
14,1995,73.922,9225741,70977.0,DEU,Germany,Europe & Central Asia,High income,Not classified
15,1996,74.133,9089362,71730.0,DEU,Germany,Europe & Central Asia,High income,Not classified
16,1997,74.342,9027129,72403.0,DEU,Germany,Europe & Central Asia,High income,Not classified
17,1998,74.551,9029017,72666.0,DEU,Germany,Europe & Central Asia,High income,Not classified
18,1999,74.758,9079122,73796.0,DEU,Germany,Europe & Central Asia,High income,Not classified
19,2000,74.965,9162837,75404.0,DEU,Germany,Europe & Central Asia,High income,Not classified
20,2001,75.17,9279469,75754.0,DEU,Germany,Europe & Central Asia,High income,Not classified
21,1995,78.016,18458070,400084.0,JPN,Japan,East Asia & Pacific,High income,Not classified
22,1996,78.145,18094770,402156.0,JPN,Japan,East Asia & Pacific,High income,Not classified
23,1997,78.272,17638125,395278.0,JPN,Japan,East Asia & Pacific,High income,Not classified
24,1998,78.398,17123669,388917.0,JPN,Japan,East Asia & Pacific,High income,Not classified
25,1999,78.523,16598908,385098.0,JPN,Japan,East Asia & Pacific,High income,Not classified
26,2000,78.649,16099722,384287.0,JPN,Japan,East Asia & Pacific,High income,Not classified
27,2001,79.99,15642234,385402.0,JPN,Japan,East Asia & Pacific,High income,Not classified
